variable,status,missing_count,total_observations,missing_proportion,valid_count,exclusion_reason
i054_15m_pedidos,exclude,8236,8236,1.0,0,high_missing_data
i011_4m_maos,exclude,8236,8236,1.0,0,high_missing_data
i004_2m_cabeca,exclude,8236,8236,1.0,0,high_missing_data
i005_2m_maos,exclude,8236,8236,1.0,0,high_missing_data
i006_2m_ri,exclude,8236,8236,1.0,0,high_missing_data
i007_2m_sentada,exclude,8236,8236,1.0,0,high_missing_data
i008_2m_sons,exclude,8236,8236,1.0,0,high_missing_data
i009_2m_olha,exclude,8236,8236,1.0,0,high_missing_data
i010_4m_cabeca,exclude,8236,8236,1.0,0,high_missing_data
i012_4m_ri,exclude,8236,8236,1.0,0,high_missing_data
i002_2m_segue,exclude,8236,8236,1.0,0,high_missing_data
i013_4m_sentada,exclude,8236,8236,1.0,0,high_missing_data
i014_4m_sons,exclude,8236,8236,1.0,0,high_missing_data
i055_15m_corre,exclude,8236,8236,1.0,0,high_missing_data
i016_4m_barriga,exclude,8236,8236,1.0,0,high_missing_data
i017_4m_brinquedo,exclude,8236,8236,1.0,0,high_missing_data
i018_4m_procura,exclude,8236,8236,1.0,0,high_missing_data
i019_4m_segura,exclude,8236,8236,1.0,0,high_missing_data
i003_2m_vira,exclude,8236,8236,1.0,0,high_missing_data
i001_2m_feliz,exclude,8236,8236,1.0,0,high_missing_data
i021_6m_olha,exclude,8236,8236,1.0,0,high_missing_data
k10_meses,exclude,8236,8236,1.0,0,high_missing_data
i069_18m_ajuda,exclude,8236,8236,1.0,0,high_missing_data
i068_18m_combina,exclude,8236,8236,1.0,0,high_missing_data
i067_18m_pula,exclude,8236,8236,1.0,0,high_missing_data
i066_18m_eu,exclude,8236,8236,1.0,0,high_missing_data
i065_18m_sozinha,exclude,8236,8236,1.0,0,high_missing_data
i064_18m_corpo,exclude,8236,8236,1.0,0,high_missing_data
k09_licenca,exclude,8236,8236,1.0,0,high_missing_data
i063_18m_objetos,exclude,8236,8236,1.0,0,high_missing_data
i056_15m_escadas,exclude,8236,8236,1.0,0,high_missing_data
i062_18m_chuta,exclude,8236,8236,1.0,0,high_missing_data
i061_18m_escadas,exclude,8236,8236,1.0,0,high_missing_data
i060_18m_corre,exclude,8236,8236,1.0,0,high_missing_data
i000_2m_faz,exclude,8236,8236,1.0,0,high_missing_data
i059_15m_corpo,exclude,8236,8236,1.0,0,high_missing_data
i058_15m_objetos,exclude,8236,8236,1.0,0,high_missing_data
i057_15m_chuta,exclude,8236,8236,1.0,0,high_missing_data
i020_6m_sons,exclude,8236,8236,1.0,0,high_missing_data
