variavel	descricao
a00_regiao	a00_regiao - Macrorregião 
a06_domicilio	a06_domicilio - número do domicílio
b00_numero	b00_numero - número do morador do domicílio
b02_sexo	b02 - Sexo da criança 
b03_relacao	b03_relacao - Relação da criança com o responsável pelo domicílio
b04_idade	b04_idade - Idade em anos completos da criança
b05_data	b05_data - Data de nascimento da criança
b05a_idade_em_meses	b05a_idade_em_meses - Idade em meses da criança 
b06_numero_mae	b06_numero_mae - Número da mãe biológica na lista de moradores
b06b_mae_responsavel	b06b_mae_responsavel - Número da mãe ou responsável na lista de moradores
bb04_idade_da_mae	bb04_idade_da_mae - Idade em anos completos da mãe
bbb08_numero_mais_novo1	bbb08_numero_mais_novo1 -  Identificação do filho mais novo na lista de moradores
bbb08a_numero_mais_velho1	bbb08a_numero_mais_velho1 - Identificação do filho mais velho na lista de moradores
d01_cor	d01_cor - Cor ou raça da criança      
d02_matriculado	d02_matriculado - A criança está matriculada em creche ou escola?
datablb	datablb - Data de aplicação do questionário 
datahorapedido	datahorapedido - Data e hora do pedido da coleta de sangue
e01_leite_peito	e01_leite_peito - A criança tomou leite do peito ontem
e03_filtrada_fervida	e03_filtrada_fervida - A água que a criança tomou ontem era filtrada/fervida
e06_leite_vaca_po	e06_leite_vaca_po  - A criança tomou leite de vaca em pó ontem
e07_leite_vaca_liquido	e07_leite_vaca_liquido  - A criança tomou leite de vaca líquido ontem
e11_suco	e11_suco - A criança tomou suco natural de fruta espremido sem açúcar ontem
e12_fruta_inteira	e12_fruta_inteira  - A criança comeu fruta inteira, em pedaço ou amassada ontem
e17_sal_vezes	e17_sal_vezes  - Quantas vezes a criança comeu comida de sal (de panela, papa ou sopa) ontem
e19_mingau	e19_mingau  - A criança comeu mingau ou papa com leite ontem
e20_iogurte	e20_iogurte - A criança tomou iogurte ontem
e21_arroz	e21_arroz  - A criança comeu arroz, batata, inhame, cará, aipim/macaxeira/mandioca, farinha ou macarrão (sem ser macarrão instantâneo, tipo miojo) ontem
e211a_pao_frances	e211a_pao_frances  
e213a_industrializado	e213a_industrializado 
e214a_nao_comeu	e214a_nao_comeu
e21a_pao	e21a_pao - A criança comeu pão ontem 
e22_legumes	e22_legumes  - A criança comeu legumes diferentes de batata, inhame, cará, aipim/macaxeira/mandioca ontem
e23_cenoura	e23_cenoura  - A criança comeu cenoura, abóbora (jerimum) ou batata doce ontem
e25_verduras	e25_verduras  - A criança comeu outras verduras, sem ser couve, espinafre, taioba, brócolis, caruru folha, beldroega, bertalha ou mostarda ontem
e26_feijao	e26_feijao - A criança comeu feijão ou outros tipos de grãos, como lentilha, ervilha ou grão de bico ontem
e27_carne	e27_carne - A criança comeu algum tipo de carne (de boi, frango, porco, peixe ou outro) ontem
e29_ovo	e29_ovo  -  A criança comeu ovo (frito, mexido, omelete, cozido ou gemada) ontem?
e30_hamburger	e30_hamburger  - Além dos tipos de carne citados anteriormente (de boi, frango, porco, peixe ou outro), a criança comeu hambúrguer, presunto, mortadela, salame, nugget, linguiça ou salsicha ontem
e31_salgadinhos	e31_salgadinhos - A criança comeu salgadinhos de pacote, tipo chips como Fofura, Fandangos, Cheetos ou outros parecidos ontem
e32_suco_industrializado	e32_suco_industrializado -  A criança bebeu suco industrializado, de caixinha, água de coco de caixinha, guaraná natural ou xaropes de guaraná, refresco de groselha, suco em pó ou suco natural de fruta com adição de açúcar ontem
e33_refrigerante	e33_refrigerante - A criança bebeu refrigerante ontem
e35_biscoito	e35_biscoito  -  A criança comeu biscoito/bolacha doce ou salgada ontem
e36_bala	e36_bala -  A criança comeu bala, pirulito ou outras guloseimas ontem
e37_tempero	e37_tempero -  A criança comeu algum alimento que levou tempero pronto industrializado (tipo Sazon, caldo Knorr) ontem
e38_farinhas	e38_farinhas - A criança comeu farinhas instantâneas de arroz, milho, trigo ou aveia (por exemplo: Mucilon, Farinha láctea, Neston, Vitalon, Milnutri) ontem
e39_mamadeira	e39_mamadeira -  A criança recebeu algum alimento por mamadeira ou chuquinha ontem
