variavel	descricao
j03_cor	j03_cor - Cor ou raça da mãe/responsável 
j04_vive	j04_vive - A mãe/responsável vive com companheiro(a) 
j05_religiao	j05_religiao - Religião ou culto da mãe/responsável 
j0501_rel_catolica	j0501_rel_catolica - Religião ou culto da mãe/ responsável
j0502_rel_evangelica_tradicional	j0502_rel_evangelica_tradicional - Religião ou culto da mãe/ responsável
j0503_rel_evangelica_pentecostal	j0503_rel_evangelica_pentecostal - Religião ou culto da mãe/ responsável
j0508_rel_sem_religiao	j0508_rel_sem_religiao - Religião ou culto da mãe/ responsável
j06_ocupacao	j06_ocupacao - Principal situação de emprego atual da mãe/responsável 
j10_serie	j10_serie - Última série/ano que a mãe/responsável completou
k01_gestacoes	k01_gestacoes - Quantas gestações você teve
k02_filhos_vivos	k02_filhos_vivos - Quantos filhos nasceram vivos? 
k04_prenatal_semanas	k04_prenatal_semanas - Com quantas semanas de gravidez você iniciou o pré-natal da criança
k05_prenatal_consultas	k05_prenatal_consultas - Quantas consultas de pré-natal teve durante a gravidez da criança
k06_peso_engravidar	k06_peso_engravidar - Qual era o seu peso antes de engravidar da criança
k07_peso_final	k07_peso_final - Qual era o seu peso antes do parto (ao final da gestação) da criança
k08_quilos	k08_quilos - Quantos quilos você ganhou na gestação da criança
k12_tempo	k12_tempo - Quanto tempo depois do nascimento a criança foi colocada no peito pela primeira vez para mamar
k13_tempo_medida	k13_tempo_medida - Horas ou dias
k14_ainda	k14_ainda - Você ainda está amamentando a criança
k15_recebeu	k15_recebeu - Durante sua permanência na maternidade a criança recebeu algum outro leite que não fosse o leite de peito
k16_liquido	k16_liquido - Nos primeiros dias após o parto, e antes que o seu leite estivesse descendo, foi dado algum outro líquido para a criança beber que não fosse leite materno
k18_somente	k18_somente - Durante quanto tempo deu somente leite do peito para a criança, sem água, chá, suco ou outros alimentos
k19_somente_medida	k19_somente_medida - Dias ou meses
k22_amamentou	k22_amamentou - Desde que amamenta a criança você amamentou o filho de outra mulher
k24_utilizou	k24_utilizou - Desde que amamenta a criança utilizou
k244_utilizou_bomba	k244_utilizou_bomba 
k245_utilizou_mamadeira	k245_utilizou_mamadeira 
k248_utilizou_nao	k248_utilizou_nao
k25_mamadeira	k25_mamadeira - A criança usa ou já usou mamadeira
k28_aleitamento	k28_aleitamento - Você acessa ou acessou a internet para buscar informações sobre aleitamento materno
k29_alimentacao	k29_alimentacao - Você acessa a internet para buscar informações sobre alimentação infantil
l01_morador_alim_acabassem	l01_morador_alim_acabassem - EBIA_Os moradores tiveram a preocupação de que os alimentos acabassem antes de poderem comprar ou receber mais comida
l02_morador_alim_acabaram	l02_morador_alim_acabaram - EBIA_Os alimentos acabaram antes que os moradores tivessem dinheiro para comprar mais comida
