variavel	descricao
id_upa_anon	id_upa_anon - Código de identificação da unidade primaria de amostragem
peso_crianca_y_4	peso_crianca - Peso básico das crianças do banco 4 de sangue 
peso_crianca_y_5	peso_crianca - Peso básico das crianças do banco 5 de sangue 
peso_crianca_y_6	peso_crianca - Peso básico das crianças do banco 6 de sangue 
peso_crianca_y_7	peso_crianca - Peso básico das crianças do banco 7 de sangue 
peso_crianca_y_8	peso_crianca - Peso básico das crianças do banco 8 de sangue 
peso_crianca_y_9a	peso_crianca - Peso básico das crianças do banco 9a de sangue 
peso_crianca_y_9b	peso_crianca - Peso básico das crianças do banco 9b de sangue 
peso_setor_ajuste1	peso_setor_ajuste1  -  Peso básico, ajustado para não resposta, do setor em que o domicílio foi selecionado / entrevistado
posestrato	Contagem de subgrupos para pós estratificação
q01_recebe_beneficio	q01_recebe_beneficio - Alguém do domicilio recebe benefício(s) do governo 
q06_renda	q06_renda - Renda mensal do domicílio 
q07_renda_faixa	q07_renda_faixa - Valor da renda do domicílio em faixas de renda
r01_televisao	r01_televisao - Quantos aparelhos de televisão têm neste domicílio
r02_automoveis	r02_automoveis - Quantos automóveis tem neste domicílio
r03_radio	r03_radio - Você(s) têm rádio no domicílio
r05_vcr	r05_vcr - Você(s) têm leitor de mídias (VCR, DVD, BlueRay, ChromeCast/Apple TV) no domicílio
r06_lavadora	r06_lavadora - Você(s) têm máquina de lavar roupa no domicílio
r07_micro_ondas	r07_micro_ondas  - Você(s) têm forno de micro-ondas no domicílio
r08_telefone_fixo	r08_telefone_fixo - Você(s) têm telefone fixo (convencional) no domicílio
r09_microcomputador	r09_microcomputador - Você(s) têm microcomputador/tablet/notebook no domicílio
r10_ar_condicionado	r10_ar_condicionado - Você(s) têm aparelho de ar condicionado no domicílio?
r11_tv_a_cabo	r11_tv_a_cabo - Você(s) têm TV a cabo ou TV por assinatura no domicílio
r12_internet_domicilio	r12_internet_domicilio - Você(s) têm acesso à internet no domicílio (inclusive rede sem fio)
r13_internet_celular	r13_internet_celular - Você(s) têm acesso à internet no celular
r14_celular	r14_celular - Qual o tipo de plano do seu celular?
s00c_data_peso	s00c_data_peso - Data de realização da medida do peso
s00d_idade_peso	s00d_idade_peso - Idade em dias da criança no dia da medida 1 do peso
s00e_data_altura	s00e_data_altura - Data de realização da medida da altura
s00f_idade_altura	s00f_idade_altura - Idade em dias da criança no dia da medida da altura
s02_peso_medida1	s02_peso_medida1  - Medida 1 do peso da criança (kg)
s03_peso_medida2	s03_peso_medida2  - Medida 2 do peso da criança (kg)
s04_peso_padrao	s04_peso_padrao - O peso da criança foi medido de forma padronizada
s07_altura_medida1	s07_altura_medida1 - Medida 1 da altura/comprimento da criança (cm)
s08_altura_medida2	s08_altura_medida2 - Medida 2 da altura/comprimento da criança(cm)
setor_anon	setor_anon - Setor censitário
t02_peso_medida1	t02_peso_medida1 - Medida 1 de peso da mãe (kg)
t03_peso_medida2	t03_peso_medida2 - Medida 2 de peso da mãe (kg)
t05_altura_medida1	t05_altura_medida1 - Medida 1 da altura/comprimento da mãe (cm)
t06_altura_medida2	t06_altura_medida2 - Medida 2 da altura/comprimento da mãe (cm)
total_12p	total_12p - Total de parâmetros entre os 12 prioritários 
u02_coleta_realizada	u02_coleta_realizada - A coleta de sangue da criança foi realizada?
u03_puncao	"u03_puncao - Foi necessária mais de uma punção venosa em ""nome da criança""?"
u04a_coleta_hora	u04a_coleta_hora - Hora da coleta do sangue de “nome da criança”. questão aberta com 2 algarismos
u04b_coleta_minuto	u04b_coleta_minuto - Minuto da coleta do sangue de “nome da criança”. questão aberta com 2 algarismos
u05_braco	"u05_braco - Em qual braço de “nome da criança"" o sangue foi coletado?"
u07_volume	u07_volume - Volume de sangue coletado (mL) 
u07a_volume_trace	u07a_volume_trace - Volume de sangue coletado (mL) no tubo Trace
u09a_refeicao_hora	u09a_refeicao_hora  - Em que horário “nome da criança” realizou a última refeição (ou a última mamada)
u09b_refeicao_minuto	u09b_refeicao_minuto - Minutos em que “nome da criança” realizou a última refeição (ou a última mamada)? 
vd_ebia_categ	vd_ebia_categ - Classificação da Escala Brasileira de Insegurança Alimentar no domicílio 
vd_ebia_escore	vd_ebia_escore - Escore da Escala Brasileira de Insegurança Alimentar no domicílio 
vd_ien_decimos	ien_decimos - Escore do Indicador Econômico Nacional (IEN)
vd_ien_escore	ien_escore - Escore do Indicador Econômico Nacional (IEN)
vd_ien_quartos	ien_quartos - Escore do Indicador Econômico Nacional (IEN)
vd_ien_quintos	ien_quintos - Escore do Indicador Econômico Nacional (IEN)
vd_ien_tercos	ien_tercos - Escore do Indicador Econômico Nacional (IEN)
vd_num_supl	Quantidade de tipos de suplementos usados nos últimos 6 meses
vd_supl1_com_calcio	Uso de qualquer suplemento de micronutrientes que contenha calcio nos últimos 6 meses
vd_supl1_com_cobre	Uso de qualquer suplemento de micronutrientes que contenha cobre nos últimos 6 meses
vd_supl1_com_cromo	Uso de qualquer suplemento de micronutrientes que contenha cromo nos últimos 6 meses
vd_supl1_com_ferro	Uso de qualquer suplemento de micronutrientes que contenha ferro nos últimos 6 meses
vd_supl1_com_ferro_indep_nutrisus	Uso de qualquer suplemento de micronutrientes que contenha ferro independente do uso de NUTRISUS nos últimos 6 meses
vd_supl1_com_fosforo	Uso de qualquer suplemento de micronutrientes que contenha fosforo nos últimos 6 meses
vd_supl1_com_iodo	Uso de qualquer suplemento de micronutrientes que contenha iodo nos últimos 6 meses
vd_supl1_com_magnesio	Uso de qualquer suplemento de micronutrientes que contenha magnésio nos últimos 6 meses
vd_supl1_com_manganes	Uso de qualquer suplemento de micronutrientes que contenha manganês nos últimos 6 meses
