variavel	descricao
vd_anthro_zwfl	vd_anthro_zwfl - Escore z do índice peso/altura da criança
vd_imc_mae	vd_imc_mae - IMC da mãe adulta (Kg/m)
vd_supl1_bc_cipro	Uso de qualquer suplemento de micronutrientes que contenha apenas Vit B e Vit C associada à ciproeptadina nos últimos 6 meses
vd_supl1_com_cipro	Uso de qualquer suplemento de micronutrientes que contenha ciproeptadina nos últimos 6 meses
vd_supl1_com_vite	Uso de qualquer suplemento de micronutrientes que contenha Vit E nos últimos 6 meses
vd_supl1_com_vitk	Uso de qualquer suplemento de micronutrientes que contenha Vit K nos últimos 6 meses
vd_supl1_exclusivamente_vitd	Uso de apenas um suplemento de micronutrientes que contenha somente Vit D nos últimos 6 meses
vd_supl1_multi_sem_com_minerais	Uso de qualquer suplemento de micronutrientes multivitamínico sem ou com minerais
vd_supl1_multivitaminico_com_minerais	Uso de qualquer suplemento de micronutrientes que contenha vitaminas e minerais nos últimos 6 meses
vd_supl1_multivitaminico_com_minerais_bcferro	Uso de qualquer suplemento de micronutrientes multivitamínico com  minerais que contenha Vit B, Vit C, ferro nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais	Uso de qualquer suplemento de micronutrientes que contenha apenas vitaminas nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais_abcd	Uso de qualquer suplemento de micronutrientes multivitamínico sem minerais que contenha Vit A, Vit B, Vit C, Vit D nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais_abcde	Uso de qualquer suplemento de micronutrientes multivitamínico sem minerais que contenha Vit A, Vit B, Vit C, Vit D, Vit E nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais_abcdek	Uso de qualquer suplemento de micronutrientes multivitamínico sem minerais que contenha Vit A, Vit B, Vit C, Vit D, Vit E, Vit K nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais_ade	Uso de qualquer suplemento de micronutrientes multivitamínico sem minerais que contenha Vit A, Vit D, Vit E nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais_b	Uso de qualquer suplemento de micronutrientes multivitamínico sem minerais que contenha Vit B nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais_bc	Uso de qualquer suplemento de micronutrientes multivitamínico sem minerais que contenha Vit B, Vit C nos últimos 6 meses
vd_supl1_multivitaminico_sem_minerais_outros	Uso de qualquer suplemento de micronutrientes multivitamínico sem minerais que contenha outra combinação de vitaminas não contemplado em combinações anteriores nos últimos 6 meses
vd_supl1_outros_supl	Uso de outros suplementos de micronutrientes não contemplados nas combinações anteriores nos últimos 6 meses
vd_supl1_sobreposicao	Uso de mais de um suplementos de micronutrientes em que se sobrepõe pelo menos um nutriente nos últimos 6 meses
vd_supl1_somente_vitd	Uso de qualquer suplemento de micronutrientes que contenha somente Vit D nos últimos 6 meses
vd_supl1_somente_vitsad	Uso de qualquer suplemento de micronutrientes que contenha somente Vit A e Vit D nos últimos 6 meses
vd_zhaz	vd_zhaz - Escore z do índice altura/idade da criança
vd_zimc	vd_zimc - Escore z do índice imc/idade da criança
vd_zwaz	vd_zwaz - Escore z do índice peso/idade da criança
