variavel	descricao
b02_sexo	b02 - Sexo da criança 
b04_idade	b04_idade - Idade em anos completos da criança
bb04_idade_da_mae	bb04_idade_da_mae - Idade em anos completos da mãe
d01_cor	d01_cor - Cor ou raça da criança      
h01_semanas_gravidez	h01_semanas_gravidez - Com quantas semanas de gravidez a criança nasceu
h02_peso	h02_peso - Peso ao nascer (em gramas) da criança
h03_altura	h03_altura - Com quantos centímetros a criança nasceu
h04_parto	h04_parto - Tipo de parto da criança
j03_cor	j03_cor - Cor ou raça da mãe/responsável 
k04_prenatal_semanas	k04_prenatal_semanas - Com quantas semanas de gravidez você iniciou o pré-natal da criança
k05_prenatal_consultas	k05_prenatal_consultas - Quantas consultas de pré-natal teve durante a gravidez da criança
k06_peso_engravidar	k06_peso_engravidar - Qual era o seu peso antes de engravidar da criança
k07_peso_final	k07_peso_final - Qual era o seu peso antes do parto (ao final da gestação) da criança
k08_quilos	k08_quilos - Quantos quilos você ganhou na gestação da criança
k12_tempo	k12_tempo - Quanto tempo depois do nascimento a criança foi colocada no peito pela primeira vez para mamar
k13_tempo_medida	k13_tempo_medida - Horas ou dias
k15_recebeu	k15_recebeu - Durante sua permanência na maternidade a criança recebeu algum outro leite que não fosse o leite de peito
k16_liquido	k16_liquido - Nos primeiros dias após o parto, e antes que o seu leite estivesse descendo, foi dado algum outro líquido para a criança beber que não fosse leite materno
k18_somente	k18_somente - Durante quanto tempo deu somente leite do peito para a criança, sem água, chá, suco ou outros alimentos
k19_somente_medida	k19_somente_medida - Dias ou meses
t05_altura_medida1	t05_altura_medida1 - Medida 1 da altura/comprimento da mãe (cm)
t06_altura_medida2	t06_altura_medida2 - Medida 2 da altura/comprimento da mãe (cm)
vd_zimc	vd_zimc - Escore z do índice imc/idade da criança
